review,garage service positive,ease of booking positive,processed_text,sentiment,subthemes
"Easy to use and garage was great. Only crticism is that on [REDACTED] it said the slot was morning so I checked with them what that actualy meant. They said I could go anytime from 8.30 to 11.30. I booked the fitting and got an appointment time of 8.30, no flexibility as per first enquiry. I mentioned this to the garage and they told me they also get told what time slot it is by [REDACTED]. This should be clearer up front.",garage service positive,ease of booking negative,"['Easy', 'use', 'garage', 'great', '.', 'crticism', '[', 'REDACTED', ']', 'said', 'slot', 'morning', 'checked', 'actualy', 'meant', '.', 'said', 'could', 'go', 'anytime', '8.30', '11.30', '.', 'booked', 'fitting', 'got', 'appointment', 'time', '8.30', ',', 'flexibility', 'per', 'first', 'enquiry', '.', 'mentioned', 'garage', 'told', 'also', 'get', 'told', 'time', 'slot', '[', 'REDACTED', ']', '.', 'clearer', 'front', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
"Seamless hasslefree experience. Seamless delivery, fitting and payment. Good price too. I like being able to select the tyre I want in advance. There was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy.",delivery punctuality positive,garage service positive,"['Seamless', 'hasslefree', 'experience', '.', 'Seamless', 'delivery', ',', 'fitting', 'payment', '.', 'Good', 'price', '.', 'like', 'able', 'select', 'tyre', 'want', 'advance', '.', 'good', 'range', 'suit', 'budget', 'able', 'schedule', 'time/day', 'suits', 'handy', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Very easy to use and a great saving on previous quotes. Faultless from start to finish,value for money positive,,"['easy', 'use', 'great', 'saving', 'previous', 'quotes', '.', 'Faultless', 'start', 'finish']",positive,{}
"Never had any issues with the tyres, fitting or garages i’ve Used via [REDACTED]- easy and cost effective service.",garage service positive,value for money positive,"['Never', 'issues', 'tyres', ',', 'fitting', 'garages', '’', 'Used', 'via', '[', 'REDACTED', ']', '-', 'easy', 'cost', 'effective', 'service', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"The whole process is very slick, prices competitive, and the ratings of nearby fitters helpful to choose who to use. I have used [REDACTED] for a number of years now and never been let down.",location positive,value for money positive,"['whole', 'process', 'slick', ',', 'prices', 'competitive', ',', 'ratings', 'nearby', 'fitters', 'helpful', 'choose', 'use', '.', 'used', '[', 'REDACTED', ']', 'number', 'years', 'never', 'let', '.']",negative,{}
Got high end tyres for an awesome price. Definitely use again.,tyre quality positive,value for money positive,"['Got', 'high', 'end', 'tyres', 'awesome', 'price', '.', 'Definitely', 'use', '.']",positive,{'incorrect tyres': 'positive'}
"Friendly service and advice,very good prices through [REDACTED]",value for money positive,,"['Friendly', 'service', 'advice', ',', 'good', 'prices', '[', 'REDACTED', ']']",positive,{'garage service': 'positive'}
Great service and a nice easy way to choose tyres for your budget,value for money positive,,"['Great', 'service', 'nice', 'easy', 'way', 'choose', 'tyres', 'budget']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",ease of booking positive,length of fitting positive,"['problem', 'ordering', 'online', ',', 'quick', 'easy', 'process', ',', 'good', 'choice', 'booking', 'slots', 'pit', 'stop', 'convenient', 'get', '.', 'Took', 'guys', 'longer', 'expected', 'change', 'tyres', 'could', 'see', 'tired', 'long', 'busy', 'day', '.', 'friendly', 'nice', 'guys', '.', 'Thanks', 'job', 'definitely', 'use', '.', 'Cathy']",positive,{'incorrect tyres': 'positive'}
"This company wont leave you deflated. Really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time,|(if required) that suits your needs. Used them now for the last four or five years and never had a problem.",ease of booking positive,value for money negative,"['company', 'wont', 'leave', 'deflated', '.', 'Really', 'easy', 'peasy', 'way', 'buy', 'decent', 'reasonably', 'priced', 'tyres', 'ability', 'pick', 'fitting', 'time', ',', '|', '(', 'required', ')', 'suits', 'needs', '.', 'Used', 'last', 'four', 'five', 'years', 'never', 'problem', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Reliable. Fast, reliable and with excellent prices.",value for money positive,,"['Reliable', '.', 'Fast', ',', 'reliable', 'excellent', 'prices', '.']",positive,{}
"What a great service. The [REDACTED] website offered me a great price and the tyres were delivered to my local fitter promptly - as promised! The fitter at M D Tyre & Exhaust Centre, Gorse Lane Industrial Estate, Clacton was friendly and thorough. I would be quite happy to recommend this service!",garage service positive,location positive,"['great', 'service', '.', '[', 'REDACTED', ']', 'website', 'offered', 'great', 'price', 'tyres', 'delivered', 'local', 'fitter', 'promptly', '-', 'promised', '!', 'fitter', 'Tyre', '&', 'Exhaust', 'Centre', ',', 'Gorse', 'Lane', 'Industrial', 'Estate', ',', 'Clacton', 'friendly', 'thorough', '.', 'would', 'quite', 'happy', 'recommend', 'service', '!']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Was quite happy to book with them, but the reason i only gave an average review my appointment was changed twice and i had other arrangements in place which i had to change",ease of booking positive,change of date negative,"['quite', 'happy', 'book', ',', 'reason', 'gave', 'average', 'review', 'appointment', 'changed', 'twice', 'arrangements', 'place', 'change']",positive,{}
Quick easy courteous fair value,value for money positive,,"['Quick', 'easy', 'courteous', 'fair', 'value']",positive,{}
Good choice of tyres at a competitive price. This is the second time I have used them and both times I have been very happy with the service.,value for money positive,,"['Good', 'choice', 'tyres', 'competitive', 'price', '.', 'second', 'time', 'used', 'times', 'happy', 'service', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Tyres ok, but balance on wheels was set very wrong by garage. I Gone abroad and had to stop In Germany to set balance again because it was not possible to drive.",garage service negative,,"['Tyres', 'ok', ',', 'balance', 'wheels', 'set', 'wrong', 'garage', '.', 'Gone', 'abroad', 'stop', 'Germany', 'set', 'balance', 'possible', 'drive', '.']",negative,"{'garage service': 'negative', 'incorrect tyres': 'negative'}"
"Great service, great price and able to book a garage on line at a time that suits",value for money positive,ease of booking positive,"['Great', 'service', ',', 'great', 'price', 'able', 'book', 'garage', 'line', 'time', 'suits']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Excellent. Easy to navigate web page clear pricing structure . 5 stars,value for money positive,,"['Excellent', '.', 'Easy', 'navigate', 'web', 'page', 'clear', 'pricing', 'structure', '.', '5', 'stars']",positive,{}
Got 4 tyres £150 cheaper and was fitted at my local ats same week would recommend them to anyone,value for money negative,location negative,"['Got', '4', 'tyres', '£150', 'cheaper', 'fitted', 'local', 'ats', 'week', 'would', 'recommend', 'anyone']",neutral,{'incorrect tyres': 'neutral'}
Tyres fitted at ats couldn’t fault them only issue is ats could have done same price and not moaned at having to fit tyres for [REDACTED] stating they didn’t like [REDACTED] Other downside is [REDACTED] don’t offer tyre insurance but ats would have if I bought them from ats insurance at £9 per tyre. I don’t think I’d use [REDACTED] again or recommend them,value for money positive,garage service positive,"['Tyres', 'fitted', 'ats', '’', 'fault', 'issue', 'ats', 'could', 'done', 'price', 'moaned', 'fit', 'tyres', '[', 'REDACTED', ']', 'stating', '’', 'like', '[', 'REDACTED', ']', 'downside', '[', 'REDACTED', ']', '’', 'offer', 'tyre', 'insurance', 'ats', 'would', 'bought', 'ats', 'insurance', '£9', 'per', 'tyre', '.', '’', 'think', '’', 'use', '[', 'REDACTED', ']', 'recommend']",positive,{'incorrect tyres': 'positive'}
"Great price, no fuss",value for money positive,,"['Great', 'price', ',', 'fuss']",positive,{}
"Good value, easy to order and a good local garage to fit the tyre.",garage service positive,value for money positive,"['Good', 'value', ',', 'easy', 'order', 'good', 'local', 'garage', 'fit', 'tyre', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Very easy to order and quick to deliver,delivery punctuality positive,,"['easy', 'order', 'quick', 'deliver']",positive,{}
Tyres delivered quickly and excellent time slot for me. Tyres delivered quickly and excellent time for fitting provided for me. The actual fitting took a bit longer than expected. Apparently this was due to one of the new tyres not inflating on the rim. The fitter stated this was because the tyres are stored badly and when delivered they are slightly mis shapen and won’t fit on the rim properly. He did get there in the end after many attempts. Pleased with the tyres and no other problems encountered.,delivery punctuality positive,garage service positive,"['Tyres', 'delivered', 'quickly', 'excellent', 'time', 'slot', '.', 'Tyres', 'delivered', 'quickly', 'excellent', 'time', 'fitting', 'provided', '.', 'actual', 'fitting', 'took', 'bit', 'longer', 'expected', '.', 'Apparently', 'due', 'one', 'new', 'tyres', 'inflating', 'rim', '.', 'fitter', 'stated', 'tyres', 'stored', 'badly', 'delivered', 'slightly', 'mis', 'shapen', '’', 'fit', 'rim', 'properly', '.', 'get', 'end', 'many', 'attempts', '.', 'Pleased', 'tyres', 'problems', 'encountered', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Thank you again Excellent service. Value for money. Exceptional service. Easy to navigate website. What more do you need? Thanks again [REDACTED].,value for money positive,,"['Thank', 'Excellent', 'service', '.', 'Value', 'money', '.', 'Exceptional', 'service', '.', 'Easy', 'navigate', 'website', '.', 'need', '?', 'Thanks', '[', 'REDACTED', ']', '.']",positive,{'garage service': 'positive'}
Good prices easy to organise. Buying on line easy with a good range of local fitters - chose a garage we know well and everything was done as expected with no hassles,value for money positive,ease of booking positive,"['Good', 'prices', 'easy', 'organise', '.', 'Buying', 'line', 'easy', 'good', 'range', 'local', 'fitters', '-', 'chose', 'garage', 'know', 'well', 'everything', 'done', 'expected', 'hassles']",positive,{'garage service': 'positive'}
[REDACTED] does what it says on the tin you get the tyres you want fitted by your trusted local tyre fitter at a very good price,value for money negative,location negative,"['[', 'REDACTED', ']', 'says', 'tin', 'get', 'tyres', 'want', 'fitted', 'trusted', 'local', 'tyre', 'fitter', 'good', 'price']",positive,{'incorrect tyres': 'positive'}
